Age, Yrs AD;YOK-I d18O (permil VPDB)
1431.20;-3.350
1430.73;-3.380
1430.27;-3.450
1429.82;-3.380
1429.37;-3.350
1428.94;-3.380
1428.51;-3.330
1428.09;-3.340
1427.68;-3.380
1427.28;-3.310
1426.89;-3.290
1426.51;-3.240
1426.14;-3.270
1425.78;-3.320
1425.43;-3.330
1425.09;-3.400
1424.76;-3.540
1424.43;-3.490
1424.11;-3.570
1423.80;-3.520
1423.49;-3.470
1423.19;-3.500
1422.89;-3.450
1422.60;-3.540
1422.32;-3.560
1422.04;-3.700
1421.76;-3.570
1421.49;-3.610
1421.22;-3.700
1420.96;-3.600
1420.70;-3.600
1420.45;-3.680
1420.20;-3.670
1419.95;-3.840
1419.70;-3.780
1419.46;-3.810
1419.23;-3.770
1418.99;-3.760
1418.76;-3.750
1418.53;-3.680
1418.31;-3.710
1418.08;-3.880
1417.86;-3.680
1417.64;-3.720
1417.42;-3.830
1417.21;-3.690
1416.99;-3.730
1416.78;-3.720
1416.57;-3.870
1416.35;-3.980
1416.14;-4.000
1415.93;-4.020
1415.72;-4.020
1415.51;-3.990
1415.30;-3.960
1415.09;-3.970
1414.89;-4.010
1414.68;-3.880
1414.46;-3.900
1414.25;-3.710
1414.04;-3.780
1413.83;-3.720
1413.61;-3.620
1413.40;-3.620
1413.18;-3.540
1412.96;-3.450
1412.74;-3.540
1412.52;-3.320
1412.29;-3.380
1412.06;-3.390
1411.83;-3.480
1411.60;-3.480
1411.36;-3.480
1411.12;-3.670
1410.88;-3.650
1410.63;-3.720
1410.38;-3.820
1410.13;-3.890
1409.87;-3.890
1409.61;-3.770
1409.35;-3.730
1409.08;-3.710
1408.80;-3.640
1408.52;-3.670
1408.24;-3.680
1407.65;-3.600
1407.35;-3.650
1407.05;-3.550
1406.74;-3.480
1406.42;-3.420
1406.09;-3.410
1405.76;-3.440
1405.43;-3.420
1405.09;-3.380
1404.74;-3.450
1404.39;-3.360
1404.03;-3.360
1403.67;-3.360
1403.30;-3.590
1402.93;-3.410
1402.55;-3.600
1402.17;-3.580
1401.79;-3.680
1401.39;-3.630
1401.00;-3.570
1400.60;-3.570
1400.19;-3.530
1399.78;-3.430
1399.36;-3.340
1398.94;-3.400
1398.52;-3.580
1398.09;-3.720
1397.66;-3.530
1397.22;-3.520
1396.77;-3.580
1396.33;-3.870
1395.87;-3.570
1395.42;-3.590
1394.96;-3.480
1394.49;-3.520
1394.02;-3.590
1393.55;-3.590
1393.07;-3.710
1392.59;-3.810
1392.10;-3.680
1391.61;-3.630
1391.11;-3.670
1390.61;-3.650
1390.11;-3.680
1389.60;-3.620
1389.09;-3.640
1388.58;-3.590
1388.06;-3.460
1387.53;-3.580
1387.01;-3.550
1386.48;-3.670
1385.94;-3.440
1385.40;-3.470
1384.86;-3.350
1384.32;-3.380
1383.77;-3.460
1383.21;-3.320
1382.66;-3.490
1382.10;-3.600
1381.53;-3.580
1380.96;-3.790
1380.39;-3.650
1379.82;-3.610
1379.24;-3.680
1378.66;-3.650
1378.08;-3.720
1377.49;-3.840
1376.90;-3.980
1376.30;-3.710
1375.70;-3.800
1375.10;-3.730
1374.50;-3.880
1373.89;-3.630
1373.28;-3.830
1372.67;-3.750
1372.05;-3.740
1371.43;-3.650
1370.81;-3.660
1370.19;-3.710
1369.56;-3.720
1368.93;-3.780
1368.29;-3.800
1367.66;-3.750
1367.02;-3.750
1366.38;-3.790
1365.73;-3.780
1365.08;-3.790
1364.43;-3.680
1363.78;-3.710
1363.13;-3.690
1362.47;-3.830
1361.81;-3.820
1361.15;-3.820
1360.48;-3.710
1359.81;-3.710
1359.14;-3.540
1358.47;-3.580
1357.80;-3.590
1357.12;-3.600
1356.44;-3.980
1355.76;-3.680
1355.08;-3.670
1354.39;-3.510
1353.70;-3.470
1353.01;-3.440
1352.32;-3.550
1351.63;-3.450
1350.93;-3.470
1350.23;-3.650
1349.53;-3.710
1348.83;-3.710
1348.13;-3.700
1347.42;-3.580
1346.72;-3.670
1346.01;-4.030
1345.30;-3.580
1344.59;-3.730
1343.87;-3.840
1343.16;-3.820
1341.72;-4.350
1341.00;-4.050
1340.28;-4.080
1339.56;-4.090
1338.83;-4.150
1338.11;-4.180
1337.38;-4.230
1336.65;-4.270
1335.92;-4.280
1335.19;-4.200
1334.46;-4.270
1333.73;-4.270
1332.99;-4.330
1332.26;-4.300
1331.52;-4.290
1330.78;-4.320
1330.04;-4.290
1329.30;-4.360
1328.56;-4.360
1327.82;-4.330
1327.08;-4.310
1326.33;-4.380
1325.59;-4.410
1324.85;-4.480
1324.10;-4.470
1323.35;-4.410
1322.61;-4.430
1321.86;-4.380
1321.11;-4.470
1320.36;-4.520
1319.61;-4.570
1318.86;-4.440
1318.11;-4.460
1317.36;-4.400
