Age, Yrs AD;YOK-I d13C (permil VPDB)
1676.69;-8.23
1676.51;-8.32
1676.32;-8.23
1676.11;-8.34
1675.88;-8.34
1675.63;-8.3
1675.37;-7.96
1675.08;-7.8
1674.79;-7.17
1674.48;-7.04
1674.15;-7.19
1673.81;-6.87
1673.46;-6.97
1673.09;-7.07
1672.67;-7.03
1672.22;-7.11
1671.74;-7.62
1671.22;-7.54
1670.67;-7.65
1670.09;-7.78
1669.48;-7.76
1668.84;-7.92
1668.19;-7.7
1667.50;-7.85
1666.80;-7.68
1666.08;-7.79
1665.34;-7.7
1664.59;-7.81
1663.82;-7.93
1663.04;-7.91
1662.25;-7.99
1661.45;-8.03
1660.65;-7.8
1658.21;-7.99
1657.40;-7.71
1656.59;-7.61
1655.78;-7.77
1654.98;-7.44
1654.19;-7.59
1653.41;-8.03
1652.64;-7.71
1651.88;-7.67
1651.13;-7.25
1650.41;-7.16
1649.70;-7.3
1648.98;-6.81
1648.25;-6.76
1646.75;-6.37
1645.99;-6.68
1645.25;-6.94
1644.53;-7.66
1643.83;-7.34
1643.17;-7.38
1642.55;-7.44
1641.93;-7.73
1641.30;-8.11
1640.66;-7.56
1640.03;-8.11
1639.42;-7.71
1638.85;-7.8
1638.34;-7.05
1637.91;-7.26
1637.56;-7.1
1637.28;-6.84
1637.03;-6.51
1636.25;-6.4
1636.08;-6.88
1635.91;-6.92
1635.72;-6.95
1635.53;-7
1635.31;-7.16
1635.06;-6.81
1634.78;-6.95
1634.46;-7.69
1634.04;-7.52
1633.48;-7.67
1632.80;-7.83
1632.01;-7.42
1631.15;-7.14
1630.23;-7.33
1629.26;-7.39
1628.28;-7.45
1627.31;-7.52
1626.17;-7.56
1624.82;-7.65
1623.43;-6.76
1622.19;-6.97
1621.10;-6.83
1619.74;-6.94
1615.62;-8.45
1614.94;-8
1614.32;-8.05
1613.76;-7.87
1613.26;-7.97
1612.82;-7.97
1612.41;-8.02
1612.05;-8.1
1611.72;-8.04
1611.42;-8.1
1611.15;-8.06
1610.89;-8.03
1610.64;-8.1
1610.41;-8.05
1610.17;-8.02
1609.93;-7.97
1609.68;-8.06
1609.42;-8.12
1609.14;-8.02
1608.83;-8.1
1608.49;-8.17
1608.13;-8.13
1607.75;-8.27
1607.37;-8.13
1606.97;-8.06
1606.56;-8.03
1606.15;-8.09
1605.72;-8.05
